Food_ID,Food_Name,Quantity,Expiry_Date,Provider_ID,Provider_Type,Location,Food_Type,Meal_Type
1,Bread,43,3/17/2025,110,Grocery Store,South Kellyville,Vegetarian,Breakfast
2,Soup,22,3/24/2025,791,Grocery Store,West James,Non-Vegetarian,Dinner
3,Fruits,46,3/28/2025,478,Catering Service,Lake Regina,Vegan,Breakfast
4,Fruits,15,3/16/2025,930,Restaurant,Kellytown,Vegan,Lunch
5,Soup,14,3/19/2025,279,Restaurant,Garciaport,Non-Vegetarian,Dinner
6,Vegetables,4,3/24/2025,378,Supermarket,South Johnshire,Vegetarian,Snacks
7,Dairy,29,3/25/2025,268,Grocery Store,Nolanmouth,Vegetarian,Dinner
8,Rice,49,3/28/2025,343,Catering Service,South Christopherborough,Vegetarian,Lunch
9,Bread,46,3/25/2025,47,Supermarket,East Andrewland,Vegetarian,Snacks
10,Rice,41,3/20/2025,528,Supermarket,Markport,Vegetarian,Dinner
11,Pasta,39,3/17/2025,96,Grocery Store,Deborahland,Vegetarian,Breakfast
12,Pasta,15,3/28/2025,899,Catering Service,North Steven,Vegetarian,Lunch
13,Fruits,33,3/22/2025,115,Grocery Store,Floresville,Vegan,Snacks
14,Bread,19,3/30/2025,621,Supermarket,Sarahland,Vegetarian,Dinner
15,Salad,3,3/22/2025,74,Catering Service,Belindaville,Vegetarian,Breakfast
16,Dairy,6,3/26/2025,862,Grocery Store,East Tammy,Vegetarian,Snacks
17,Chicken,42,3/22/2025,417,Restaurant,East Ashleyshire,Non-Vegetarian,Snacks
18,Soup,28,3/27/2025,455,Catering Service,Madisonfort,Non-Vegetarian,Snacks
19,Rice,13,3/30/2025,419,Supermarket,Port Peter,Vegetarian,Breakfast
20,Pasta,41,3/17/2025,306,Catering Service,North Keith,Vegetarian,Snacks
21,Rice,38,3/26/2025,277,Catering Service,West Aliciabury,Vegetarian,Dinner
22,Chicken,46,3/21/2025,892,Grocery Store,Russellfurt,Non-Vegetarian,Snacks
23,Salad,43,3/26/2025,1,Supermarket,New Jessica,Vegetarian,Dinner
24,Bread,20,3/30/2025,897,Catering Service,Villastad,Vegetarian,Lunch
25,Rice,48,3/22/2025,898,Restaurant,Medinatown,Vegetarian,Breakfast
26,Vegetables,34,3/27/2025,95,Supermarket,Christinaland,Vegetarian,Dinner
27,Salad,12,3/23/2025,262,Supermarket,New Carol,Vegetarian,Breakfast
28,Chicken,5,3/22/2025,606,Grocery Store,North Nathan,Non-Vegetarian,Dinner
29,Bread,18,3/19/2025,196,Restaurant,Bartonborough,Vegetarian,Lunch
30,Soup,4,3/16/2025,616,Restaurant,Clarkberg,Non-Vegetarian,Dinner
31,Bread,42,3/22/2025,535,Grocery Store,Valdezborough,Vegetarian,Snacks
32,Rice,27,3/21/2025,611,Supermarket,Port Kendraborough,Vegetarian,Lunch
33,Salad,9,3/27/2025,798,Grocery Store,North Amanda,Vegetarian,Breakfast
34,Bread,3,3/30/2025,396,Catering Service,Heatherside,Vegetarian,Breakfast
35,Rice,6,3/23/2025,108,Supermarket,East Austin,Vegetarian,Breakfast
36,Rice,35,3/20/2025,1,Supermarket,New Jessica,Vegetarian,Breakfast
37,Fish,19,3/20/2025,389,Grocery Store,Davidborough,Non-Vegetarian,Dinner
38,Bread,48,3/22/2025,440,Grocery Store,Elliottberg,Vegetarian,Snacks
39,Bread,48,3/22/2025,758,Catering Service,Port Patrick,Vegetarian,Breakfast
40,Fruits,12,3/27/2025,965,Restaurant,Port Bryce,Vegan,Breakfast
41,Chicken,14,3/27/2025,450,Catering Service,Grahamside,Non-Vegetarian,Dinner
42,Rice,50,3/16/2025,179,Supermarket,North Michelle,Vegetarian,Lunch
43,Pasta,44,3/22/2025,29,Grocery Store,Patrickmouth,Vegetarian,Lunch
44,Bread,39,3/22/2025,290,Supermarket,Bradleyport,Vegetarian,Snacks
45,Fish,17,3/24/2025,874,Catering Service,Priceland,Non-Vegetarian,Lunch
46,Pasta,25,3/28/2025,576,Catering Service,East Emilyburgh,Vegetarian,Breakfast
